Demo,CSV,LevelName,Mode,Count,MeanDelta,StdDelta,MedianDelta,P95Delta,MaxDelta,MeanError,MaxError,MeanWorkMs,MaxWorkMs,P95WorkMs,MeanFPS,StdFrameTimeMs,MaxFrameTimeMs,P1_FPS,P01_FPS,Avg1LowFPS,Avg01LowFPS
Demo 2 - Fixed Timestep,MotionCapture_20260427_134621.csv,L_FixedTimestep,Variable,23694,3.3107594623111334,7.711082040068956,2.9257,6.217135,338.002,,,,,,203.24469968387024,1.4628076134317773,152.90000000000003,129.87012987013293,73.52941176472359,107.43743351135606,58.54631341327649
Demo 2 - Fixed Timestep,MotionCapture_20260427_134621.csv,L_FixedTimestep,Fixed,23694,2.3340837005148987,5.59578774185992,0.0,11.178379999999999,190.0776,,,,,,203.24469968387024,1.4628076134317773,152.90000000000003,129.87012987013293,73.52941176472359,107.43743351135606,58.54631341327649
Demo 1 - Motion Authority,MotionCapture_20260427_135151.csv,L_MotionAuthority,Direct,23632,2.075420980027082,1.0896702191845569,2.23785,3.5024800000000003,53.3442,,,,,,195.17779996548114,0.6177332911618042,19.8999999999927,147.05882352940876,125.00000000000864,135.9088341687789,102.02998057327738
Demo 1 - Motion Authority,MotionCapture_20260427_135151.csv,L_MotionAuthority,Authority,23631,2.0754133130210315,1.0896926384288126,2.2375,3.5025,53.3442,,,,,,195.17705565073373,0.6177381495973311,19.8999999999927,147.05882352940876,125.00000000000863,135.9088341687789,102.02998057327738
Demo 3 - Time-based Motion,MotionCapture_20260427_135413.csv,L_TimeBasedAnim,FrameBased,28143,6.416763291049284,3.5120055572002165,7.1885,10.4382,148.5757,163.15664356678394,399.9836,,,,210.22078457978742,0.6527399488712905,19.800000000003593,149.253731343394,128.20512820515972,139.0944256314861,109.93227830705256
Demo 3 - Time-based Motion,MotionCapture_20260427_135413.csv,L_TimeBasedAnim,TimeBased,28143,1.9365599403048717,1.0360267476829248,2.0825,3.3475,54.1637,0.0,0.0,,,,210.22078457978742,0.6527399488712905,19.800000000003593,149.253731343394,128.20512820515972,139.0944256314861,109.93227830705256
Demo 4 - Workload Budget,MotionCapture_20260427_142355.csv,L_WorkloadBudgeted,Budgeted,136592,3.5106748477216825,1.8230212071641676,3.721,6.2423,38.2228,,,1.5035639341981961,10.3752,1.5091,72.43605294370107,0.40012827797116624,26.699999999991064,67.11409395974394,61.34969325152964,64.25617881923182,52.511438195046786
Demo 4 - Workload Budget,MotionCapture_20260427_142806.csv,L_WorkloadUnbudgeted,Unbudgeted,37784,7.336735898793139,3.6556432416341975,7.973649999999999,12.002985,37.3574,,,3.0070475148210885,5.236,3.0146,38.5830070975804,0.4845143708962492,43.300000000002115,36.900369003703474,33.444816053514145,35.69759650272049,29.225994305742827
